user_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
166,76,22,35,37,72,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110
26,76,22,35,37,72,60,65,66,80,58,40,19,49,7,21,11,77,32,83,73
41,76,22,35,37,72,60,65,66,80,58,40,19,49,1,21,11,104,77,32,83
286,76,22,35,37,72,60,65,66,80,58,19,49,1,147,7,21,11,104,110,150
108,76,22,35,37,72,60,66,80,58,40,19,49,1,147,7,21,11,104,110,150
479,76,22,37,72,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110,150
483,76,22,35,37,72,60,65,66,80,58,40,19,49,1,147,7,21,104,110,150
355,76,22,35,37,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110,150
297,76,22,35,37,72,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110
88,76,22,35,37,72,60,65,66,80,58,40,19,49,1,7,21,11,104,110,142
308,22,35,37,72,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110,150
452,22,35,37,72,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110,150
262,76,35,37,72,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110,150
225,76,22,35,37,72,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110
247,76,35,37,72,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110,150
223,76,35,37,72,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110,150
421,76,35,37,72,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110,150
109,76,22,35,37,72,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110
441,76,22,35,37,72,60,66,80,58,40,19,49,1,147,7,21,11,104,110,150
454,76,22,35,37,72,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110
60,76,22,37,72,60,65,66,58,19,49,1,7,21,11,104,110,77,32,83,73
337,76,22,35,37,60,65,66,80,58,19,49,1,147,7,21,11,104,110,150,142
136,76,22,35,37,72,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110
176,76,22,35,37,72,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110
234,76,35,37,72,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110,150
370,76,22,35,37,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110,150
245,76,22,35,37,72,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110
482,76,22,35,37,72,60,65,66,80,58,40,19,49,1,7,21,11,104,110,150
267,22,35,37,72,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110,150
50,76,22,35,72,60,65,66,80,58,40,19,49,1,7,21,11,104,110,77,32
56,76,22,35,37,72,60,65,66,80,58,40,19,49,1,7,21,11,104,110,77
40,76,22,35,37,72,60,65,66,80,58,40,19,49,1,7,21,11,104,77,32
343,76,35,37,72,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110,150
52,76,22,35,37,72,60,65,66,80,58,40,19,49,1,7,21,104,110,77,32
404,76,22,35,37,72,60,65,66,80,58,40,49,1,147,7,21,11,104,110,150
373,76,35,37,72,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110,150
173,76,35,37,72,60,65,66,80,58,40,19,49,1,147,7,11,104,110,150,142
362,22,35,37,72,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110,150
49,76,22,35,37,72,60,65,66,80,58,40,19,49,1,7,21,11,104,110,77
406,76,22,35,37,72,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110
307,76,22,35,37,72,60,65,66,58,40,19,49,1,147,7,21,11,104,110,150
89,76,22,35,37,72,60,65,66,80,58,40,19,49,1,7,21,11,104,110,142
306,76,22,35,37,72,60,65,80,58,40,19,49,1,147,7,21,11,104,110,150
395,22,35,37,72,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110,150
317,76,22,35,37,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110,150
148,76,35,37,72,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110,150
189,76,22,35,37,72,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110
233,76,22,35,37,72,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110
383,76,35,37,72,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110,150
6,22,35,37,40,19,49,1,7,21,11,32,33,34,15,36,2,5,26,6,39
470,76,22,35,37,72,60,65,66,80,58,40,49,1,147,7,21,11,104,110,150
430,76,22,37,72,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110,150
85,76,22,35,72,60,65,66,80,58,40,19,49,1,7,21,11,104,110,136,77
420,76,22,35,37,72,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110
336,76,22,35,37,72,60,65,66,58,40,19,49,1,7,21,11,104,110,150,142
378,76,22,35,37,72,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110
62,76,22,35,37,72,60,65,66,80,58,40,19,49,1,21,11,104,110,77,32
104,76,22,35,37,72,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110
365,76,22,35,37,72,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110
285,22,35,37,72,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110,150
129,76,22,35,37,72,60,65,66,80,58,40,19,49,1,7,11,104,110,150,136
172,76,22,35,37,72,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110
241,76,22,35,37,72,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110
114,76,22,35,37,72,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110
340,22,35,37,72,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110,150
471,76,22,35,37,72,60,65,66,80,58,19,49,1,147,7,21,11,104,110,150
478,76,22,35,37,72,60,65,66,80,58,40,19,49,1,7,21,11,104,110,150
37,76,22,35,37,72,60,65,66,80,58,40,19,49,1,7,21,11,104,77,32
244,22,35,37,72,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110,150
486,22,35,37,72,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110,150
134,22,35,37,72,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110,150
34,76,22,35,37,72,60,65,66,80,58,40,19,49,1,7,21,11,77,32,83
254,76,22,35,72,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110,150
467,76,22,35,37,72,60,65,66,80,40,19,49,1,147,7,21,11,104,110,150
446,76,22,35,37,72,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110
295,76,35,37,72,60,65,66,58,40,19,49,1,147,7,21,11,104,110,150,142
137,76,22,35,37,72,60,65,66,80,58,40,19,49,147,7,21,11,104,110,150
235,76,22,35,37,72,60,65,66,80,40,19,49,1,147,7,21,11,104,110,150
296,76,22,35,37,72,60,65,66,58,40,19,49,1,147,7,21,11,104,110,150
492,22,35,37,72,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110,150
422,76,22,35,37,72,60,66,80,58,40,19,49,1,147,7,21,11,104,110,142
2,22,35,37,40,19,1,7,21,11,32,33,34,18,15,36,2,5,26,39,3
43,76,35,37,72,60,65,66,80,58,40,19,49,1,7,21,11,104,77,32,83
227,76,22,35,37,72,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110
348,22,35,37,72,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110,150
46,76,22,35,37,72,60,65,66,80,58,40,19,49,1,7,21,11,104,110,77
203,76,35,37,72,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110,150
251,76,22,37,65,66,80,58,40,19,49,1,147,7,21,11,104,110,150,142,136
149,76,22,35,37,72,60,65,66,80,40,19,49,1,147,7,21,11,104,110,150
487,76,22,35,37,72,60,65,66,80,58,40,19,49,1,147,7,21,104,110,150
171,76,22,35,37,72,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110
201,76,22,35,37,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110,150
120,76,22,72,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110,150,142
329,76,22,35,37,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110,150
81,76,22,35,37,72,65,66,80,58,19,49,1,7,21,11,104,110,136,77,32
97,76,22,35,37,72,65,66,80,58,40,19,49,1,147,7,21,11,104,110,142
326,76,22,35,37,72,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110
198,76,22,35,37,72,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110
284,35,37,72,60,65,66,80,58,19,49,1,147,7,21,11,104,110,150,142,136
147,76,22,35,37,72,60,65,66,80,40,19,49,147,7,21,11,104,110,150,142
301,76,22,35,37,72,65,66,80,58,40,19,49,1,147,7,21,11,104,110,150
457,76,22,35,37,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110,150
207,76,22,35,37,72,60,65,80,58,40,19,49,1,147,7,21,11,104,110,150
141,76,22,35,37,72,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110
263,76,22,35,37,72,60,65,66,58,40,19,49,1,147,7,21,11,104,110,150
211,76,22,35,37,72,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110
30,76,22,35,72,60,65,66,80,58,40,19,49,1,7,21,11,77,32,83,73
164,76,22,35,72,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110,150
238,76,22,37,72,65,66,80,58,40,19,49,1,147,7,21,11,104,110,150,142
299,76,22,72,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110,150,142
253,76,22,35,37,72,60,65,66,80,58,40,19,49,1,147,7,21,11,104,110
67,76,22,35,37,60,65,66,80,58,40,19,49,1,7,21,11,104,110,77,32
