user_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
166,76,37,22,60,35,72,19,66,49,65,80,40,58,1,7,147,21,104,110,150
26,76,37,22,60,35,72,19,66,49,65,80,40,58,7,21,11,51,77,73,83
41,76,37,22,60,35,72,19,66,49,65,80,40,58,1,21,104,11,51,105,77
286,76,37,22,60,35,72,19,66,49,65,80,58,1,7,147,21,104,110,150,142
108,76,37,22,60,35,72,19,66,49,80,40,58,1,7,147,21,104,110,150,142
479,76,37,22,60,72,19,66,49,65,80,40,58,1,7,147,21,104,110,150,142
483,76,37,22,60,35,72,19,66,49,65,80,40,58,1,7,147,21,104,110,150
355,76,37,22,60,35,19,66,49,65,80,40,58,1,7,147,21,104,110,150,142
297,76,37,22,60,35,72,19,66,49,65,80,40,58,1,7,147,21,104,110,150
88,76,37,22,60,35,72,19,66,49,65,80,40,58,1,7,21,104,110,142,11
308,37,22,60,35,72,19,66,49,65,80,40,58,1,7,147,21,104,110,150,142
452,37,22,60,35,72,19,66,49,65,80,40,58,1,7,147,21,104,110,150,142
262,76,37,60,35,72,19,66,49,65,80,40,58,1,7,147,21,104,110,150,142
225,76,37,22,60,35,72,19,66,49,65,80,40,58,1,7,147,21,104,110,150
247,76,37,60,35,72,19,66,49,65,80,40,58,1,7,147,21,104,110,150,142
223,76,37,60,35,72,19,66,49,65,80,40,58,1,7,147,21,104,110,150,142
421,76,37,60,35,72,19,66,49,65,80,40,58,1,7,147,21,104,110,150,142
109,76,37,22,60,35,72,19,66,49,65,80,40,58,1,7,147,21,104,110,150
441,76,37,22,60,35,72,19,66,49,80,40,58,1,7,147,21,104,110,150,142
454,76,37,22,60,35,72,19,66,49,65,80,40,58,1,7,147,21,104,110,150
60,76,37,22,60,72,19,66,49,65,58,1,7,21,104,110,11,51,105,77,73
337,76,37,22,60,35,19,66,49,65,80,58,1,7,147,21,104,110,150,142,11
136,76,37,22,60,35,72,19,66,49,65,80,40,58,1,7,147,21,104,110,150
176,76,37,22,60,35,72,19,66,49,65,80,40,58,1,7,147,21,104,110,150
234,76,37,60,35,72,19,66,49,65,80,40,58,1,7,147,21,104,110,150,142
370,76,37,22,60,35,19,66,49,65,80,40,58,1,7,147,21,104,110,150,11
245,76,37,22,60,35,72,19,66,49,65,80,40,58,1,7,147,21,104,110,150
482,76,37,22,60,35,72,19,66,49,65,80,40,58,1,7,21,104,110,150,142
267,37,22,60,35,72,19,66,49,65,80,40,58,1,7,147,21,104,110,150,142
50,76,22,60,35,72,19,66,49,65,80,40,58,1,7,21,104,110,11,51,105
