user_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
166,37,22,76,35,60,72,66,65,80,40,19,58,49,150,7,147,21,1,11,110
26,37,76,22,35,60,72,66,19,65,80,49,58,40,7,21,11,83,73,77,51
41,37,76,60,22,35,66,19,49,72,65,80,40,58,51,1,11,21,105,104,73
286,76,37,60,22,35,19,72,66,49,65,80,58,51,1,7,147,11,21,142,105
108,76,37,60,22,35,19,72,66,49,80,40,58,51,1,7,147,11,21,142,105
479,76,60,37,22,72,80,66,65,19,49,40,58,147,7,1,104,21,150,11,142
483,76,37,35,60,22,72,19,65,49,66,80,40,58,7,1,110,147,21,104,142
355,37,35,22,76,66,60,80,65,19,58,40,49,110,147,1,136,11,21,7,150
297,22,76,37,35,60,72,66,80,65,19,49,58,40,1,7,147,21,104,11,142
88,37,76,60,22,35,66,19,49,72,65,80,40,58,51,1,7,11,21,104,105
308,37,60,22,35,66,19,49,72,65,80,40,58,51,1,7,147,11,21,104,105
452,37,60,22,35,66,49,72,19,65,80,40,58,1,51,7,147,11,21,105,104
262,76,37,35,60,72,66,80,65,19,49,58,40,1,7,21,147,104,11,142,150
225,37,22,35,76,60,66,72,80,65,40,58,49,19,1,110,150,147,7,11,21
247,37,35,76,60,66,72,80,65,58,40,49,19,150,1,110,147,7,21,11,104
223,37,76,35,60,72,66,19,65,80,49,58,40,1,7,147,21,11,104,150,110
421,37,76,60,35,66,19,49,72,65,80,40,58,51,1,7,147,11,21,104,105
109,76,37,60,35,22,72,19,66,80,65,49,40,58,1,21,7,147,142,11,104
441,76,35,22,37,60,72,66,80,19,40,58,49,150,147,7,1,11,21,104,77
454,22,76,35,37,60,72,80,66,19,49,65,58,40,1,7,147,11,21,104,142
60,76,60,22,37,72,66,65,19,49,58,7,1,104,21,11,77,105,73,110,32
337,76,35,60,22,37,80,66,65,19,49,58,147,7,1,104,11,150,21,77,142
136,37,76,60,22,35,66,19,49,72,65,80,40,58,51,1,7,147,11,21,105
176,76,22,37,35,60,72,66,80,19,49,65,40,58,1,7,147,21,11,104,142
234,76,37,60,35,19,72,66,49,65,80,40,58,51,1,7,147,11,21,142,105
370,76,37,35,60,22,19,49,66,65,80,40,58,1,21,7,110,147,104,11,150
245,76,35,60,22,37,72,80,66,65,19,49,40,58,147,7,1,104,11,150,21
482,76,35,60,37,22,72,80,66,49,19,65,40,58,7,1,142,11,21,104,105
267,37,22,60,35,72,19,65,49,66,80,58,40,7,1,110,147,11,104,21,142
50,76,60,22,35,66,49,72,19,65,80,40,58,1,51,7,11,21,105,104,110
56,37,76,22,35,60,72,66,19,65,80,49,58,40,7,1,21,11,104,110,83
40,37,76,22,35,60,72,66,19,65,80,49,58,40,1,7,21,11,104,73,77
343,76,35,37,60,72,80,66,19,49,65,58,40,1,7,147,11,21,104,142,105
52,76,22,35,37,60,72,80,49,66,19,65,58,40,1,7,104,21,105,73,110
404,76,37,35,60,22,72,49,66,65,80,40,58,1,21,7,110,147,104,142,11
373,76,37,60,35,72,19,66,80,65,49,40,58,1,21,7,147,142,11,104,136
173,76,60,37,35,72,19,66,65,80,49,40,58,1,7,147,104,11,142,136,110
362,22,37,35,60,72,80,66,65,19,49,58,40,1,7,21,147,11,104,142,110
49,37,76,60,22,35,66,19,49,72,65,80,40,58,51,1,7,11,21,104,105
406,22,76,37,35,60,72,66,65,40,80,19,58,49,150,7,147,21,1,11,104
307,76,35,22,37,60,72,49,66,19,65,40,58,1,7,142,147,11,21,104,73
89,37,76,22,35,60,72,66,19,65,80,49,58,40,1,7,21,11,104,110,142
306,37,22,35,76,60,72,65,80,58,40,49,19,150,147,1,110,7,21,11,136
395,37,35,60,22,72,19,65,49,66,80,40,58,7,1,110,147,21,11,104,142
317,22,76,37,35,60,80,66,65,19,49,58,40,1,7,21,147,11,104,142,110
148,60,37,76,35,72,66,65,19,80,49,40,58,21,147,1,7,104,11,136,150
189,76,37,35,60,22,72,19,49,66,65,80,40,58,1,21,7,110,147,104,142
233,22,76,37,60,35,72,66,65,80,19,49,58,40,1,21,147,104,7,11,136
383,76,37,35,60,72,66,80,65,19,49,58,40,1,7,21,147,104,11,142,150
6,37,22,35,19,49,40,1,7,21,11,51,32,34,33,2,26,15,36,5,6
470,76,37,35,60,22,72,65,49,66,80,40,58,7,1,110,147,21,11,104,142
430,37,76,22,66,72,60,65,80,19,58,40,49,110,147,1,150,7,11,21,104
85,76,60,22,35,66,19,49,72,65,80,40,58,51,1,7,11,21,105,104,110
420,37,76,35,60,22,72,19,49,66,65,80,40,58,7,1,21,110,147,11,104
336,76,35,22,37,60,72,66,65,40,19,58,49,7,1,11,21,150,104,77,110
378,37,35,22,76,72,66,60,80,65,19,58,40,49,110,147,1,136,11,21,7
62,37,76,60,22,35,66,19,49,72,65,80,40,58,51,1,11,21,104,105,110
104,60,37,22,76,35,72,66,65,19,80,49,40,58,21,147,1,7,104,11,136
365,76,22,35,37,60,72,80,49,66,19,65,40,58,1,7,147,104,142,11,21
285,35,60,22,37,72,80,66,65,19,49,40,58,147,7,1,104,21,150,11,77
129,76,22,35,37,60,72,80,66,49,19,65,58,40,1,7,11,104,150,110,136
172,37,76,22,35,60,72,66,19,65,80,49,40,58,1,7,147,21,11,104,110
241,37,76,35,60,22,72,19,49,66,65,80,40,58,7,1,21,110,147,11,104
114,37,76,60,22,35,66,19,49,72,65,80,40,58,51,1,7,147,11,21,105
340,37,60,22,35,19,72,66,49,65,80,40,58,51,1,7,147,11,21,142,105
471,37,35,22,76,72,66,60,80,65,19,58,49,110,147,1,136,11,7,21,150
478,76,35,60,22,37,72,80,66,65,19,49,40,58,7,1,104,21,150,11,142
37,37,76,35,60,22,72,19,49,66,65,80,40,58,7,1,21,11,104,83,73
244,37,22,60,35,72,19,65,49,66,80,58,40,7,1,110,147,11,104,21,142
486,22,35,37,60,72,80,66,49,19,65,58,40,1,7,147,21,142,11,104,150
134,37,22,35,60,72,66,19,65,80,49,58,40,7,147,1,21,11,104,150,110
34,37,76,22,35,60,72,66,19,65,80,49,58,40,1,7,21,11,83,73,77
254,76,60,22,35,66,19,49,72,65,80,40,58,51,1,7,147,11,21,105,104
467,35,76,60,22,37,72,66,80,65,19,40,49,147,7,1,11,150,21,104,77
446,76,35,60,37,22,72,80,66,65,19,49,40,58,147,7,1,104,21,11,105
295,76,37,35,60,72,66,65,19,49,58,40,1,7,21,147,11,104,142,110,150
137,76,60,37,35,22,72,19,66,80,65,49,40,58,21,7,147,104,142,11,136
235,76,37,60,22,35,19,72,66,49,65,80,40,51,1,7,147,11,21,142,105
296,76,22,35,37,60,72,49,66,19,65,40,58,1,7,147,104,142,11,21,73
492,37,35,60,22,72,19,49,66,65,80,40,58,7,1,21,110,147,11,104,142
422,37,22,35,76,60,66,72,80,49,40,58,19,7,147,21,1,110,11,104,136
2,37,22,35,19,40,1,7,21,11,32,34,33,18,2,26,15,36,5,39,8
43,37,76,60,35,66,19,49,72,65,80,40,58,51,1,7,11,21,105,104,73
227,76,22,37,60,35,72,66,80,65,19,49,58,40,1,7,21,147,104,11,150
348,37,60,22,35,19,72,66,49,65,80,40,58,51,1,7,147,11,21,142,105
46,22,76,37,35,60,72,66,80,65,19,49,58,40,1,7,21,104,11,110,83
203,76,35,37,60,72,80,66,49,65,19,58,40,1,7,147,142,11,21,104,110
251,76,37,22,80,66,65,19,49,40,58,147,7,1,104,21,150,11,142,77,73
149,37,76,60,22,35,66,49,72,19,65,80,40,1,51,7,147,11,21,105,104
487,35,76,60,22,37,72,80,66,65,19,49,40,58,147,7,1,104,150,21,142
171,37,76,60,22,35,66,49,72,19,65,80,40,58,1,51,7,147,11,21,104
201,76,22,37,60,35,66,80,65,19,49,58,40,1,7,21,147,104,11,110,150
120,76,60,22,72,19,65,49,66,80,40,58,7,1,110,147,21,11,104,142,150
329,37,76,35,60,22,19,49,66,65,80,40,58,7,1,21,110,147,11,104,142
81,37,76,22,35,66,19,49,72,65,80,58,51,1,7,11,21,104,105,110,136
97,37,76,22,35,66,19,49,72,65,80,40,58,51,1,7,147,11,21,104,105
326,76,22,35,37,60,72,80,66,49,19,65,58,40,1,7,147,21,142,11,104
198,60,37,22,76,35,72,66,65,19,80,49,40,58,21,147,1,7,104,11,136
284,35,37,60,72,66,65,80,19,58,49,150,147,7,1,11,21,104,77,110,142
147,22,76,37,35,60,72,66,80,65,19,49,40,7,21,147,104,11,142,110,150
301,76,37,35,22,72,19,66,65,80,49,40,58,1,21,7,147,104,11,142,136
457,35,76,60,22,37,66,80,65,19,40,49,58,147,7,1,11,150,21,104,77
207,37,76,60,22,35,19,49,72,65,80,40,58,51,1,7,147,11,21,104,105
141,37,76,60,22,35,66,49,72,19,65,80,40,58,1,51,7,147,11,21,105
263,76,22,35,37,60,72,65,66,40,19,58,49,150,7,147,1,11,21,104,110
211,76,22,35,37,60,72,80,49,66,19,65,58,40,1,7,147,104,142,11,21
30,76,60,22,35,19,72,66,49,65,80,40,58,51,1,7,11,21,73,77,67
164,76,60,22,35,66,19,49,72,65,80,40,58,51,1,7,147,11,21,104,105
238,76,22,37,72,66,80,40,65,19,58,49,147,7,1,11,21,150,104,77,142
