user_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
166,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
26,76,22,35,37,60,72,65,66,80,19,58,40,49,150,110,147,7,21,11,104
41,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,21,11,104
286,76,22,35,37,60,72,65,66,80,19,58,49,1,150,110,147,7,21,11,104
108,76,22,35,37,60,72,66,80,19,58,40,49,1,150,110,147,7,21,11,104
479,76,22,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
483,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,104
355,76,22,35,37,60,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
297,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
88,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
308,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
452,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
262,76,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
225,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
247,76,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
223,76,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
421,76,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
109,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
441,76,22,35,37,60,72,66,80,19,58,40,49,1,150,110,147,7,21,11,104
454,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
60,76,22,37,60,72,65,66,19,58,49,1,150,110,147,7,21,11,104,142,136
337,76,22,35,37,60,65,66,80,19,58,49,1,150,110,147,7,21,11,104,142
136,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
176,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
234,76,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
370,76,22,35,37,60,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
245,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
482,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,7,21,11,104
267,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
50,76,22,35,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
56,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
40,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
343,76,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
52,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,104
404,76,22,35,37,60,72,65,66,80,58,40,49,1,150,110,147,7,21,11,104
373,76,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
173,76,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,11,104,142
362,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
49,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
406,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
307,76,22,35,37,60,72,65,66,19,58,40,49,1,150,110,147,7,21,11,104
89,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
306,76,22,35,37,60,72,65,80,19,58,40,49,1,150,110,147,7,21,11,104
395,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
317,76,22,35,37,60,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
148,76,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
189,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
233,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
383,76,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
6,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
470,76,22,35,37,60,72,65,66,80,58,40,49,1,150,110,147,7,21,11,104
430,76,22,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
85,76,22,35,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
420,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
336,76,22,35,37,60,72,65,66,19,58,40,49,1,150,110,7,21,11,104,142
378,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
62,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,21,11,104
104,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
365,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
285,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
129,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,7,11,104,136
172,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
241,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
114,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
340,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
471,76,22,35,37,60,72,65,66,80,19,58,49,1,150,110,147,7,21,11,104
478,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,7,21,11,104
37,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
244,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
486,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
134,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
34,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
254,76,22,35,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
467,76,22,35,37,60,72,65,66,80,19,40,49,1,150,110,147,7,21,11,104
446,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
295,76,35,37,60,72,65,66,19,58,40,49,1,150,110,147,7,21,11,104,142
137,76,22,35,37,60,72,65,66,80,19,58,40,49,150,110,147,7,21,11,104
235,76,22,35,37,60,72,65,66,80,19,40,49,1,150,110,147,7,21,11,104
296,76,22,35,37,60,72,65,66,19,58,40,49,1,150,110,147,7,21,11,104
492,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
422,76,22,35,37,60,72,66,80,19,58,40,49,1,110,147,7,21,11,104,142
2,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
43,76,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
227,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
348,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
46,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
203,76,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
251,76,22,37,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104,142,136
149,76,22,35,37,60,72,65,66,80,19,40,49,1,150,110,147,7,21,11,104
487,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,104
171,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
201,76,22,35,37,60,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
120,76,22,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104,142
329,76,22,35,37,60,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
81,76,22,35,37,72,65,66,80,19,58,49,1,150,110,147,7,21,11,104,136
97,76,22,35,37,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
326,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
198,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
284,35,37,60,72,65,66,80,19,58,49,1,150,110,147,7,21,11,104,142,136
147,76,22,35,37,60,72,65,66,80,19,40,49,150,110,147,7,21,11,104,142
301,76,22,35,37,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
457,76,22,35,37,60,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
207,76,22,35,37,60,72,65,80,19,58,40,49,1,150,110,147,7,21,11,104
141,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
263,76,22,35,37,60,72,65,66,19,58,40,49,1,150,110,147,7,21,11,104
211,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
30,76,22,35,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
164,76,22,35,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
238,76,22,37,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104,142
299,76,22,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104,142
253,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
67,76,22,35,37,60,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
110,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
138,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
3,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
246,76,22,35,37,60,72,65,66,80,19,58,49,1,150,110,147,7,21,11,104
107,76,22,35,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
119,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
485,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,11,104
443,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
350,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
154,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
480,76,22,35,37,60,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
280,76,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
335,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
216,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
375,76,22,35,37,60,65,66,80,19,58,49,1,150,110,147,7,21,11,104,142
71,76,22,35,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
425,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
347,76,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
394,76,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
237,76,22,35,37,60,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
257,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
389,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
208,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
214,76,22,37,60,72,65,66,19,58,40,49,1,150,110,147,7,21,11,104,142
178,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,11,104,142
163,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
160,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
349,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
334,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
106,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
204,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,11,104
274,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
242,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
364,76,22,35,37,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
127,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
371,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
357,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,104,142,136,77
38,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
224,76,22,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
491,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
1,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
157,76,22,35,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
319,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
32,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
54,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
248,76,37,60,72,65,66,19,58,40,49,1,150,110,147,7,21,11,104,142,136
16,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
367,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
5,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
80,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
53,76,22,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,11,104,142
65,76,22,35,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
465,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
96,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
407,76,35,37,60,72,66,80,19,58,40,49,1,150,110,147,7,21,11,104,142
442,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
162,76,22,35,37,60,65,66,80,19,40,49,1,150,110,147,7,21,11,104,142
323,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
209,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
168,76,35,37,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104,142
179,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
260,76,22,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
99,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,21,11,104
424,76,35,37,60,65,66,80,19,58,49,1,150,110,147,7,21,104,142,136,77
122,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
135,76,22,35,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11,104
416,22,35,37,60,72,65,66,80,19,40,49,1,150,110,147,7,21,11,104,142
55,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,21,11
438,76,22,35,37,60,65,66,80,19,58,49,1,150,110,147,7,21,11,104,142
185,76,22,35,37,60,72,65,66,80,19,58,40,49,1,150,110,147,7,11,104
